# {"t_start": 1608789182.3069544} 
r,l,t
24.045256,800,4682.397333
34.4332,800,4685.149922
24.198528,592,4687.277254
29.968634,800,4690.670974
26.081173,800,4695.238774
26.983877,800,4696.694855
16.879398,626,4697.55713
11.893977,261,4726.673456
22.562132,800,4728.353741
12.691685,249,4730.223212
18.154556,433,4753.316094
32.639637,676,4774.174757
23.427298,800,4775.468875
26.104408,800,4780.522389
22.523323,800,4785.55554
17.80106,351,4785.55558
23.543379,800,4816.315208
22.894276,800,4817.956157
23.694372,785,4818.704716
9.04449,195,4822.764535
7.5003605,179,4837.545583
15.081499,526,4842.0646
17.250595,343,4848.200755
18.598114,382,4851.63215
26.133472,800,4864.703624
17.109394,358,4868.600646
24.239304,800,4870.722745
12.472112,273,4872.436082
22.30908,800,4875.664366
30.962723,800,4906.075809
14.924381,320,4912.610731
6.086984,139,4923.70757
19.632711,455,4927.524386
25.245369,800,4930.730844
22.746456,800,4939.541331
18.341402,397,4956.774931
35.44878,800,4957.882807
31.75573,800,4959.504873
35.63638,800,4962.724496
27.008762,800,4993.247866
16.365137,358,5008.872974
18.902313,375,5013.449109
24.555141,800,5014.956994
13.547941,274,5016.987559
29.001535,800,5018.871705
23.567093,800,5027.885516
10.561521,242,5031.388086
9.508662,246,5036.986225
10.975534,309,5044.913839
36.83285,800,5046.479647
16.069355,344,5047.50336
27.844215,800,5048.181325
11.03747,242,5053.209161
13.96296,289,5090.762048
16.557512,373,5098.007679
26.12225,800,5102.495841
20.074234,417,5106.963784
33.089413,800,5115.95977
23.70175,800,5124.816568
16.661013,454,5130.121491
15.834989,336,5132.303195
22.475443,800,5134.56967
27.757952,800,5136.098303
19.56322,476,5168.02261
22.639688,530,5180.720922
11.664577,318,5181.478034
19.81716,483,5186.202557
23.558739,800,5187.469982
24.861933,529,5198.601912
11.860341,246,5206.992695
17.797432,417,5216.541272
30.860537,800,5218.587268
24.889523,800,5220.535882
22.389751,476,5228.066339
7.1215296,169,5253.961447
23.774506,800,5256.061587
24.972298,533,5263.695276
33.398254,800,5269.486213
23.49459,548,5273.821652
25.26715,613,5297.830542
38.199207,800,5303.269578
24.427673,800,5305.164301
22.228895,496,5314.53775
29.166397,800,5340.061302
26.714584,800,5342.375325
28.103622,800,5350.361842
21.7484,800,5356.24769
9.559423,271,5365.744284
20.841812,467,5373.957124
29.62648,621,5376.475512
24.141148,800,5386.283935
32.3118,800,5392.886424
27.15283,629,5394.614916
21.04704,449,5403.895591
32.43543,800,5436.875598
18.034782,385,5437.889202
27.048954,800,5443.254861
19.506718,443,5459.668815
24.383516,800,5460.834119
38.7109,800,5463.253389
16.177248,365,5468.914483
32.32304,686,5471.916631
13.365308,346,5473.365788
24.306046,743,5475.920966
18.280483,472,5478.805964
8.94463,193,5481.301003
8.752653,214,5488.505086
10.700242,261,5494.910405
9.06577,259,5496.389278
21.930742,480,5546.802521
26.401264,800,5547.86211
28.896976,800,5549.190609
33.965485,759,5559.452523
28.620148,800,5565.728302
25.824337,800,5568.191876
14.197474,290,5573.595594
22.497383,800,5582.250486
38.15021,800,5583.754071
32.119694,800,5633.817799
38.61983,800,5635.573757
23.654053,800,5645.934702
34.969406,773,5650.089359
